"№","Авторы","Название","Год","Название источника","Организации","Авторы организаций","Сведения о финансировании","Текст о финансировании 1","Текст о финансировании 2","ISSN","Тип документа","EID","Квартили","SJR","Тематики"
"1972","Shchetinin A.N.","On factor spaces of compact Lie groups by subgroups of corank one","2015","Russian Mathematics","Bauman Moscow State Technical University, ul. Vtoraya Baumanskaya 5, Moscow, Russian Federation","Shchetinin, A.N., Bauman Moscow State Technical University, ul. Vtoraya Baumanskaya 5, Moscow, Russian Federation","","","","1066369","Article","2-s2.0-84938236433","Q3","0.377","2600;"
"1973","Sayapin S.N.","Control system for the Stirling engine","2017","Russian Engineering Research","Bauman Moscow State Technical University, Institute of Mechanical Engineering, Russian Academy of Sciences, Moscow, Russian Federation","Sayapin, S.N., Bauman Moscow State Technical University, Institute of Mechanical Engineering, Russian Academy of Sciences, Moscow, Russian Federation","","","","1068798X","Article","2-s2.0-85034815872","Q2","0.278","2209; 2210;"
"1974","Mikheev Y.A., Guseva L.N., Ershov Y.A.","Transformations of methyl orange dimers in aqueous–acid solutions, according to UV–Vis spectroscopy data","2017","Russian Journal of Physical Chemistry A","Emanuel Institute of Biochemical Physics, Russian Academy of Sciences, Moscow, Russian Federation; Bauman Moscow State Technical University, Moscow, Russian Federation","Mikheev, Y.A., Emanuel Institute of Biochemical Physics, Russian Academy of Sciences, Moscow, Russian Federation; Guseva, L.N., Emanuel Institute of Biochemical Physics, Russian Academy of Sciences, Moscow, Russian Federation; Ershov, Y.A., Bauman Moscow State Technical University, Moscow, Russian Federation","","","","360244","Article","2-s2.0-85029764765","Q4","0.255","1606;"
"1975","Chirkov D.M., Toporensky A.V.","On stable exponential cosmological solutions in the EGB model with a cosmological constant in dimensions D = 5, 6, 7, 8","2017","Gravitation and Cosmology","Bauman Moscow State Technical University, 2-ya Baumanskaya ul. 5, Moscow, Russian Federation; Sternberg Astronomical Institute, Lomonosov Moscow State University, Universitetsky Prospekt 13, Moscow, Russian Federation; Kazan Federal University, Kremlevskaya 18, Kazan, Russian Federation","Chirkov, D.M., Bauman Moscow State Technical University, 2-ya Baumanskaya ul. 5, Moscow, Russian Federation; Toporensky, A.V., Sternberg Astronomical Institute, Lomonosov Moscow State University, Universitetsky Prospekt 13, Moscow, Russian Federation, Kazan Federal University, Kremlevskaya 18, Kazan, Russian Federation","17-02-01008, RFBR, Russian Foundation for Basic Research","The work of A.T. is supported by RFBR grant 17-02-01008 and by the Russian Government Program of Competitive Growth of Kazan Federal University. The authors are grateful to Vladimir Ivashchuk for discussions.","","2022893","Article","2-s2.0-85034864568","Q3","0.397","3103;"
"1976","Bashkin S.V., Vagin V.A., Vintaikin I.B., Dvoruk S.K., Kornienko V.N., Kochikov I.V., Mironov A.I., Morozov A.N., Svetlichnyi S.I., Tabalin S.E., Fufurin I.L.","Calculation of instrumental functions as a method for analyzing the alignment of the IR channel of a scanning Fourier-transform IR spectroradiometer","2017","Optics and Spectroscopy (English translation of Optika i Spektroskopiya)","Bauman Moscow State Technical University, Moscow, Russian Federation; Scientific and Technological Center of Unique Instrumentation, Russian Academy of Sciences, Moscow, Russian Federation; Talrose Institute of Problems of Chemical Physics (Branch), Russian Academy of Sciences, Chernogolovka, Moscow oblast, Russian Federation","Bashkin, S.V., Bauman Moscow State Technical University, Moscow, Russian Federation; Vagin, V.A., Bauman Moscow State Technical University, Moscow, Russian Federation; Vintaikin, I.B., Bauman Moscow State Technical University, Moscow, Russian Federation; Dvoruk, S.K., Bauman Moscow State Technical University, Moscow, Russian Federation; Kornienko, V.N., Bauman Moscow State Technical University, Moscow, Russian Federation; Kochikov, I.V., Bauman Moscow State Technical University, Moscow, Russian Federation; Mironov, A.I., Bauman Moscow State Technical University, Moscow, Russian Federation; Morozov, A.N., Scientific and Technological Center of Unique Instrumentation, Russian Academy of Sciences, Moscow, Russian Federation; Svetlichnyi, S.I., Talrose Institute of Problems of Chemical Physics (Branch), Russian Academy of Sciences, Chernogolovka, Moscow oblast, Russian Federation; Tabalin, S.E., Bauman Moscow State Technical University, Moscow, Russian Federation; Fufurin, I.L., Bauman Moscow State Technical University, Moscow, Russian Federation","","","","0030400X","Article","2-s2.0-85031812253","Q3","0.319","3107; 2504;"
"1977","Fomin I.V., Chervon S.V.","Exact inflation in Einstein–Gauss–Bonnet gravity","2017","Gravitation and Cosmology","Bauman Moscow State Technical University, 2-ya Baumanskaya ul. 5, Moscow, Russian Federation; Ulyanovsk State Pedagogical University, 100-years V.I. Lenin’s Birthday Square, Ulyanovsk, Russian Federation; Astrophysics and Cosmology Research Unit, School of Mathematics, Statistics and Computer Science, University of KwaZulu-Natal, Private Bag X54 001, Durban, South Africa","Fomin, I.V., Bauman Moscow State Technical University, 2-ya Baumanskaya ul. 5, Moscow, Russian Federation; Chervon, S.V., Ulyanovsk State Pedagogical University, 100-years V.I. Lenin’s Birthday Square, Ulyanovsk, Russian Federation, Astrophysics and Cosmology Research Unit, School of Mathematics, Statistics and Computer Science, University of KwaZulu-Natal, Private Bag X54 001, Durban, South Africa","16-02-00488 A, RFBR, Russian Foundation for Basic Research; 2014/391, MES, Ministry of Education and Science","ACKNOWLEDGMENTS It is an extended talk given at the Ulyanovsk International School-Seminar “Problems of theoretical and observation cosmology—UISS 2016,” September 19–30, 2016, Ulyanovsk, Russia. I.V. Fomin was supported by RFBR grants 16-02-00488 A and 16-08-00618 A.S.V. Chervon was partly supported by the State order of Ministry of education and science of RF number 2014/391 on the project 1670.","","2022893","Article","2-s2.0-85034826089","Q3","0.397","3103;"
"1978","Zhuikov V.A., Bonartsev A.P., Zharkova I.I., Bykova G.S., Taraskin N.Y., Kireynov A.V., Kopitsyna M.N., Bonartseva G.A., Shaitan K.V.","Effect of Poly(ethylene glycol) on the Ultrastructure and Physicochemical Properties of the Poly(3-hydroxybutyrate)","2017","Macromolecular Symposia","Faculty of Biology, Lomonosov Moscow State University, Leninskie gory, 1-12, Moscow, Russian Federation; Faculty of Soil Science, Lomonosov Moscow State University, Leninskie gory, 1-12, Moscow, Russian Federation; Bauman Moscow State Technical University, 5, 2-nd Baumanskaya, Moscow, Russian Federation; A.N. Bach Institute of Biochemistry, Research Center of Biotechnology of the Russian Academy of Sciences, 33, bld. 2 Leninsky Av., Moscow, Russian Federation","Zhuikov, V.A., A.N. Bach Institute of Biochemistry, Research Center of Biotechnology of the Russian Academy of Sciences, 33, bld. 2 Leninsky Av., Moscow, Russian Federation; Bonartsev, A.P., Faculty of Biology, Lomonosov Moscow State University, Leninskie gory, 1-12, Moscow, Russian Federation; Zharkova, I.I., Faculty of Biology, Lomonosov Moscow State University, Leninskie gory, 1-12, Moscow, Russian Federation; Bykova, G.S., Faculty of Soil Science, Lomonosov Moscow State University, Leninskie gory, 1-12, Moscow, Russian Federation; Taraskin, N.Y., Bauman Moscow State Technical University, 5, 2-nd Baumanskaya, Moscow, Russian Federation; Kireynov, A.V., Bauman Moscow State Technical University, 5, 2-nd Baumanskaya, Moscow, Russian Federation; Kopitsyna, M.N., Bauman Moscow State Technical University, 5, 2-nd Baumanskaya, Moscow, Russian Federation; Bonartseva, G.A., A.N. Bach Institute of Biochemistry, Research Center of Biotechnology of the Russian Academy of Sciences, 33, bld. 2 Leninsky Av., Moscow, Russian Federation; Shaitan, K.V., Faculty of Biology, Lomonosov Moscow State University, Leninskie gory, 1-12, Moscow, Russian Federation","2020, MSU, Mahasarakham University; 15-29-04856, RFBR, Russian Foundation for Basic Research","This work was supported by RFBR grant, project no. 15-29-04856. The equipment of User Facilities Center of Moscow State University (incl. in framework of Development Programm of MSU to 2020) and A.N.Bach Institute of Biochemistry RAS was used in the work.","","10221360","Article","2-s2.0-85030648931","Q3","0.235","2505; 2507; 1605; 3104;"
"1979","Konopel’ko N.A., Shakhov E.M.","Evolution to a steady state for a rarefied gas flowing from a tank into a vacuum through a plane channel","2017","Computational Mathematics and Mathematical Physics","Moscow Institute of Physics and Technology, Dolgoprudnyi, Moscow oblast, Russian Federation; Bauman Moscow State Technical University, Moscow, Russian Federation; Dorodnicyn Computing Center, Federal Research Center “Computer Science and Control,”, Russian Academy of Sciences, Moscow, Russian Federation","Konopel’ko, N.A., Moscow Institute of Physics and Technology, Dolgoprudnyi, Moscow oblast, Russian Federation; Shakhov, E.M., Bauman Moscow State Technical University, Moscow, Russian Federation, Dorodnicyn Computing Center, Federal Research Center “Computer Science and Control,”, Russian Academy of Sciences, Moscow, Russian Federation","16-01-00489a, RFBR, Russian Foundation for Basic Research","ACKNOWLEDGMENTS This work was supported by the Russian Foundation for Basic Research, project no. 16-01-00489a.","","9655425","Article","2-s2.0-85032740244","Q3","0.421","2605;"
"1980","Polyanin A.D., Shingareva I.K.","The use of differential and non-local transformations for numerical integration of non-linear blow-up problems","2017","International Journal of Non-Linear Mechanics","Institute for Problems in Mechanics, Russian Academy of Sciences, 101 Vernadsky Avenue, bldg 1, Moscow, Russian Federation; Bauman Moscow State Technical University, 5 Second Baumanskaya Street, Moscow, Russian Federation; National Research Nuclear University MEPhI, 31 Kashirskoe Shosse, Moscow, Russian Federation; University of Sonora, Blvd. Luis Encinas y Rosales S/N, Hermosillo, Sonora, Mexico","Polyanin, A.D., Institute for Problems in Mechanics, Russian Academy of Sciences, 101 Vernadsky Avenue, bldg 1, Moscow, Russian Federation, Bauman Moscow State Technical University, 5 Second Baumanskaya Street, Moscow, Russian Federation, National Research Nuclear University MEPhI, 31 Kashirskoe Shosse, Moscow, Russian Federation; Shingareva, I.K., University of Sonora, Blvd. Luis Encinas y Rosales S/N, Hermosillo, Sonora, Mexico","","","","207462","Article","2-s2.0-85021994505","Q1","1.032","2604; 2210; 2211;"
"1981","Kraxner F., Schepaschenko D., Fuss S., Lunnan A., Kindermann G., Aoki K., Dürauer M., Shvidenko A., See L.","Mapping certified forests for sustainable management - A global tool for information improvement through participatory and collaborative mapping","2017","Forest Policy and Economics","Ecosystems Services and Management Program, International Institute for Applied Systems Analysis (IIASA), Schlossplatz 1, Laxenburg, Austria; Mercator Research Institute on Global Commons and Climate Change (MCC), Torgauer Str. 12–15, Berlin, Germany; Norwegian University of Life Sciences (NMBU), School of Economics and Business, Box 5003, Aas, Norway; Austrian Research and Training Centre for Forests, Natural Hazards and Landscape, Seckendorff-Gudent-Weg 8, Vienna, Austria; Shinshu University, Cooperative Research Center, 4-17-1 Wakasato, Nagano, Japan; Sukachev Institute of Forest, Russian Academy of Sciences, Siberian Branch, Akademgorodok 50/28, Krasnoyarsk, Russian Federation; Mytischi filial of Bauman Moscow State Technical University, Institutskaya, 1, Mytishchi, Russian Federation","Kraxner, F., Ecosystems Services and Management Program, International Institute for Applied Systems Analysis (IIASA), Schlossplatz 1, Laxenburg, Austria; Schepaschenko, D., Ecosystems Services and Management Program, International Institute for Applied Systems Analysis (IIASA), Schlossplatz 1, Laxenburg, Austria, Mytischi filial of Bauman Moscow State Technical University, Institutskaya, 1, Mytishchi, Russian Federation; Fuss, S., Ecosystems Services and Management Program, International Institute for Applied Systems Analysis (IIASA), Schlossplatz 1, Laxenburg, Austria, Mercator Research Institute on Global Commons and Climate Change (MCC), Torgauer Str. 12–15, Berlin, Germany; Lunnan, A., Ecosystems Services and Management Program, International Institute for Applied Systems Analysis (IIASA), Schlossplatz 1, Laxenburg, Austria, Norwegian University of Life Sciences (NMBU), School of Economics and Business, Box 5003, Aas, Norway; Kindermann, G., Ecosystems Services and Management Program, International Institute for Applied Systems Analysis (IIASA), Schlossplatz 1, Laxenburg, Austria, Austrian Research and Training Centre for Forests, Natural Hazards and Landscape, Seckendorff-Gudent-Weg 8, Vienna, Austria; Aoki, K., Ecosystems Services and Management Program, International Institute for Applied Systems Analysis (IIASA), Schlossplatz 1, Laxenburg, Austria, Shinshu University, Cooperative Research Center, 4-17-1 Wakasato, Nagano, Japan; Dürauer, M., Ecosystems Services and Management Program, International Institute for Applied Systems Analysis (IIASA), Schlossplatz 1, Laxenburg, Austria; Shvidenko, A., Ecosystems Services and Management Program, International Institute for Applied Systems Analysis (IIASA), Schlossplatz 1, Laxenburg, Austria, Sukachev Institute of Forest, Russian Academy of Sciences, Siberian Branch, Akademgorodok 50/28, Krasnoyarsk, Russian Federation; See, L., Ecosystems Services and Management Program, International Institute for Applied Systems Analysis (IIASA), Schlossplatz 1, Laxenburg, Austria","BMUB, Bundesministerium für Umwelt, Naturschutz, Bau und Reaktorsicherheit; 617754, ERC, European Research Council; MISTRA, Stiftelsen för Miljöstrategisk Forskning","This work has been carried out as part of IIASA's Tropical Futures Initiative (TFI, www.iiasa.ac.at/tropics), the ERC project ?CrowdLand? (No. 617754), and the IIASA-led ?RESTORE+: Addressing Landscape Restoration on Degraded Land in Indonesia and Brazil? project (www.restoreplus.org), carried out under the International Climate Initiative (IKI) of the German Federal Ministry for the Environment, Nature Conservation, Building and Nuclear Safety (BMUB). Furthermore, the study received support from the research program Future Forests (MISTRA, Sweden). Our gratitude also goes to the major certification schemes (FSC and PEFC) for their information provided for this study. We are especially grateful to the inspiring comments received at the IUFRO World Congress 2014 and the IBFRA Conference 2014. Finally, we would like to thank the anonymous reviewers for their very useful comments that have helped to improve this paper substantially.","","13899341","Article","2-s2.0-85020253124","Q1","1.01","2308; 2002; 3312; 1107;"
"1982","Neklyudov A.V.","On the absence of global solutions to the gauss equation and solutions in external areas","2014","Russian Mathematics","Bauman Moscow State Technical University, Rubtsovskaya nab. 2/18, Moscow 105005, Russian Federation","Neklyudov, A.V., Bauman Moscow State Technical University, Rubtsovskaya nab. 2/18, Moscow 105005, Russian Federation","","","","1066369","Article","2-s2.0-84892527069","Q3","0.377","2600;"
"1983","Samoylov V.M., Danilov E.A., Galimov E.R., Fedyaev V.L., Galimova N.Ya., Orlov M.A.","Production of thermally conductive carbon foams and their application in automobile transport","2017","IOP Conference Series: Materials Science and Engineering","JSC NIIgrafit, Moscow, Russian Federation; Institute of Mechanics and Mechanical Engineering of Kazan Scientific Centre, Russian Academy of Science, Kazan, Russian Federation; Kazan National Research Technical University Named after A N Tupolev, Kazan, Russian Federation; Bauman Moscow State Technical University, Moscow, Russian Federation","Samoylov, V.M., JSC NIIgrafit, Moscow, Russian Federation; Danilov, E.A., JSC NIIgrafit, Moscow, Russian Federation; Galimov, E.R., Institute of Mechanics and Mechanical Engineering of Kazan Scientific Centre, Russian Academy of Science, Kazan, Russian Federation; Fedyaev, V.L., Institute of Mechanics and Mechanical Engineering of Kazan Scientific Centre, Russian Academy of Science, Kazan, Russian Federation, Kazan National Research Technical University Named after A N Tupolev, Kazan, Russian Federation; Galimova, N.Ya., Institute of Mechanics and Mechanical Engineering of Kazan Scientific Centre, Russian Academy of Science, Kazan, Russian Federation; Orlov, M.A., Bauman Moscow State Technical University, Moscow, Russian Federation","","","","17578981","Conference Paper","2-s2.0-85034035824","0","0.201","0"
"1984","Dvoretskiy D.A., Sazonkin S.G., Negin M.A., Shelestov D.A., Pnev A.B., Karasik V.E., Denisov L.K., Krylov A.A., Davydov V.A., Obraztsova E.D.","Comb Peculiarities of Dispersion-Managed Solitons in a Hybrid Mode-Locked All-Fiber Ring Laser","2017","IEEE Photonics Technology Letters","Bauman Moscow State Technical University, Moscow, Russian Federation; Fiber Optics Research Center, Russian Academy of Sciences, Moscow, Russian Federation; Institute for High Pressure Physics, Russian Academy of Sciences, Moscow, Russian Federation; A.M. Prokhorov General Physics Institute, Russian Academy of Sciences, Moscow, Russian Federation","Dvoretskiy, D.A., Bauman Moscow State Technical University, Moscow, Russian Federation; Sazonkin, S.G., Bauman Moscow State Technical University, Moscow, Russian Federation; Negin, M.A., Bauman Moscow State Technical University, Moscow, Russian Federation; Shelestov, D.A., Bauman Moscow State Technical University, Moscow, Russian Federation; Pnev, A.B., Bauman Moscow State Technical University, Moscow, Russian Federation; Karasik, V.E., Bauman Moscow State Technical University, Moscow, Russian Federation; Denisov, L.K., Bauman Moscow State Technical University, Moscow, Russian Federation; Krylov, A.A., Fiber Optics Research Center, Russian Academy of Sciences, Moscow, Russian Federation; Davydov, V.A., Institute for High Pressure Physics, Russian Academy of Sciences, Moscow, Russian Federation; Obraztsova, E.D., A.M. Prokhorov General Physics Institute, Russian Academy of Sciences, Moscow, Russian Federation","MK-7724.2016.8; 16-38-60102 mol_a_dk, RFBR, Russian Foundation for Basic Research","Manuscript received July 21, 2016; revised July 25, 2017; accepted July 31, 2017. Date of publication August 9, 2017; date of current version August 22, 2017. This work was supported in part by RFBR under Project 16-38-60102 mol_a_dk and in part by Russian President Grant for young scientists MK-7724.2016.8. (Corresponding author: Dmitriy A. Dvoretskiy.) D. A. Dvoretskiy, S. G. Sazonkin, M. A. Negin, D. A. Shelestov, A. B. Pnev, V. E. Karasik, and L. K. Denisov are with Bauman Moscow State Technical University, 107005 Moscow, Russia (e-mail: ddvoretskiy@gmail.com).","","10411135","Article","2-s2.0-85028996798","Q1","0.961","2208; 3107; 2504;"
"1985","Lednev V.N., Sdvizhenskii P.A., Filippov M.N., Grishin M.Y., Filichkina V.A., Stavertiy A.Y., Tretyakov R.S., Bunkin A.F., Pershin S.M.","Elemental profiling of laser cladded multilayer coatings by laser induced breakdown spectroscopy and energy dispersive X-ray spectroscopy","2017","Applied Surface Science","National University of Science and Technology MISiS, Moscow, Russian Federation; Prokhorov General Physics Institute, Russian Academy of Science, Moscow, Russian Federation; Moscow Institute of Physics and Technology (State University), Dolgoprudny, Moscow Region, Russian Federation; Bauman Moscow State Technical University, Moscow, Russian Federation","Lednev, V.N., National University of Science and Technology MISiS, Moscow, Russian Federation; Sdvizhenskii, P.A., National University of Science and Technology MISiS, Moscow, Russian Federation; Filippov, M.N., National University of Science and Technology MISiS, Moscow, Russian Federation; Grishin, M.Y., Prokhorov General Physics Institute, Russian Academy of Science, Moscow, Russian Federation, Moscow Institute of Physics and Technology (State University), Dolgoprudny, Moscow Region, Russian Federation; Filichkina, V.A., National University of Science and Technology MISiS, Moscow, Russian Federation; Stavertiy, A.Y., Bauman Moscow State Technical University, Moscow, Russian Federation; Tretyakov, R.S., Bauman Moscow State Technical University, Moscow, Russian Federation; Bunkin, A.F., Prokhorov General Physics Institute, Russian Academy of Science, Moscow, Russian Federation; Pershin, S.M., Prokhorov General Physics Institute, Russian Academy of Science, Moscow, Russian Federation","","","","1694332","Article","2-s2.0-85018322884","Q1","1.093","2508;"
"1986","Koryanov V.V., Kazakovtsev V.P.","Study of evaluation of the influence of small asymmetries on deviations of a longitudinal axis of a space landing vehicle equipment from a speed vector under the conditions of a resonant movement regime","2017","2017 8th International Conference on Mechanical and Aerospace Engineering, ICMAE 2017","Dynamics and Flight Control of Motion of Rockets and Spacecraft, Bauman Moscow State Technical University, Moscow, Russian Federation","Koryanov, V.V., Dynamics and Flight Control of Motion of Rockets and Spacecraft, Bauman Moscow State Technical University, Moscow, Russian Federation; Kazakovtsev, V.P., Dynamics and Flight Control of Motion of Rockets and Spacecraft, Bauman Moscow State Technical University, Moscow, Russian Federation","","","","","Conference Paper","2-s2.0-85032357541","0","","2210; 2211; 3104; 2500; 1600;"
"1987","Kovalenko M.D., Menshova I.V., Kerzhaev A.P.","Displacement discontinuity as a result of residual stress relief","2017","2017 8th International Conference on Mechanical and Aerospace Engineering, ICMAE 2017","Laboratory of Geodynamics, Institute of Earthquake Prediction Theory and Mathematical Geophysics, Russian Academy of Sciences, Moscow, Russian Federation; Institute of Applied Mechanics, Russian Academy of Sciences, Moscow, Russian Federation; Department of Mathematics, Bauman Moscow State Technical University, National Research University of Technology, Moscow, Russian Federation; I. Yakovlev Chuvash State Pedagogical University, Cheboksary, Russian Federation","Kovalenko, M.D., Laboratory of Geodynamics, Institute of Earthquake Prediction Theory and Mathematical Geophysics, Russian Academy of Sciences, Moscow, Russian Federation, Institute of Applied Mechanics, Russian Academy of Sciences, Moscow, Russian Federation; Menshova, I.V., Laboratory of Geodynamics, Institute of Earthquake Prediction Theory and Mathematical Geophysics, Russian Academy of Sciences, Moscow, Russian Federation, Department of Mathematics, Bauman Moscow State Technical University, National Research University of Technology, Moscow, Russian Federation; Kerzhaev, A.P., Laboratory of Geodynamics, Institute of Earthquake Prediction Theory and Mathematical Geophysics, Russian Academy of Sciences, Moscow, Russian Federation, I. Yakovlev Chuvash State Pedagogical University, Cheboksary, Russian Federation","16-31-60028 mol_a_dk, RFBR, Russian Foundation for Basic Research; 15-41-02644 r_povolzhye_a, RFBR, Russian Foundation for Basic Research","ACKNOWLEDGMENT This research was supported by the Russian Foundation for Basic Research, research project nos. 16-31-60028 mol_a_dk and 15-41-02644 r_povolzhye_a.","","","Conference Paper","2-s2.0-85032348116","0","","2210; 2211; 3104; 2500; 1600;"
"1988","Kovalenko M.D., Menshova I.V., Kerzhaev A.P.","Bending of a semi-strip with longitudinal stiffeners: Exact solution","2017","2017 8th International Conference on Mechanical and Aerospace Engineering, ICMAE 2017","Laboratory of Geodynamics, Institute of Earthquake Prediction Theory and Mathematical Geophysics, Russian Academy of Sciences, Moscow, Russian Federation; Institute of Applied Mechanics, Russian Academy of Sciences, Moscow, Russian Federation; Department of Mathematics, Bauman Moscow State Technical University, National Research University of Technology, Moscow, Russian Federation; I. Yakovlev Chuvash State Pedagogical University, Cheboksary, Russian Federation","Kovalenko, M.D., Laboratory of Geodynamics, Institute of Earthquake Prediction Theory and Mathematical Geophysics, Russian Academy of Sciences, Moscow, Russian Federation, Institute of Applied Mechanics, Russian Academy of Sciences, Moscow, Russian Federation; Menshova, I.V., Laboratory of Geodynamics, Institute of Earthquake Prediction Theory and Mathematical Geophysics, Russian Academy of Sciences, Moscow, Russian Federation, Department of Mathematics, Bauman Moscow State Technical University, National Research University of Technology, Moscow, Russian Federation; Kerzhaev, A.P., Laboratory of Geodynamics, Institute of Earthquake Prediction Theory and Mathematical Geophysics, Russian Academy of Sciences, Moscow, Russian Federation, I. Yakovlev Chuvash State Pedagogical University, Cheboksary, Russian Federation","16-31-60028 mol_a_dk, RFBR, Russian Foundation for Basic Research; 15-41-02644 r_povolzhye_a, RFBR, Russian Foundation for Basic Research","ACKNOWLEDGMENT This research was supported by the Russian Foundation for Basic Research, research project nos. 16-31-60028 mol_a_dk and 15-41-02644 r_povolzhye_a.","","","Conference Paper","2-s2.0-85032342398","0","","2210; 2211; 3104; 2500; 1600;"
"1989","Tataraidze A., Anishchenko L., Korostovtseva L., Bochkarev M., Sviryaev Y., Ivashov S.","Estimation of a priori probabilities of sleep stages: A cycle-based approach","2017","Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS","Bauman Moscow State Technical University, 2nd Baumanskaya str., 5, Moscow, Russian Federation; V.A. Almazov Federal North-West Medical Research Center, St. Petersburg, Russian Federation","Tataraidze, A., Bauman Moscow State Technical University, 2nd Baumanskaya str., 5, Moscow, Russian Federation; Anishchenko, L., Bauman Moscow State Technical University, 2nd Baumanskaya str., 5, Moscow, Russian Federation; Korostovtseva, L., V.A. Almazov Federal North-West Medical Research Center, St. Petersburg, Russian Federation; Bochkarev, M., V.A. Almazov Federal North-West Medical Research Center, St. Petersburg, Russian Federation; Sviryaev, Y., V.A. Almazov Federal North-West Medical Research Center, St. Petersburg, Russian Federation; Ivashov, S., Bauman Moscow State Technical University, 2nd Baumanskaya str., 5, Moscow, Russian Federation","495, RFBR, Russian Foundation for Basic Research; 15-07-02472 A, RFBR, Russian Foundation for Basic Research","*Research supported by the grant of Russian Foundation for Basic Research (15-07-02472 A) A. Tataraidze, L. Anishchenko and S. Ivashov are with Bauman Moscow State Technical University. Russian Federation,105005, Moscow, 2nd Baumanskaya str., 5 (e-mail: tataraidze@rslab.ru, tel.: +7(495)632-22-19).","","1557170X","Conference Paper","2-s2.0-85032200095","0","","0"
"1990","Anishchenko L., Tataraidze A., Bugaev A., Razevig V.","Automated long-term contactless temperature monitoring in animals via a thermographic camera","2017","Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS","Bauman Moscow State Technical University, Moscow, Russian Federation; Moscow Institute of Physics and Technology, Dolgoprudny, Moscow Region, Russian Federation","Anishchenko, L., Bauman Moscow State Technical University, Moscow, Russian Federation; Tataraidze, A., Bauman Moscow State Technical University, Moscow, Russian Federation; Bugaev, A., Moscow Institute of Physics and Technology, Dolgoprudny, Moscow Region, Russian Federation; Razevig, V., Bauman Moscow State Technical University, Moscow, Russian Federation","141701, RFBR, Russian Foundation for Basic Research","*Research supported by the grants of Russian Foundation for Basic Research (15-07-01510 A, 17-07-00166 A). L. Anishchenko, A. Tataraidze, and V. Razevig are with Bauman Moscow State Technical University, Moscow, 105005, Russian Federation (e-mail: anishchenko@ rslab.ru). A. Bugaev is with Moscow Institute of Physics and Technology, Dolgoprudny, Moscow Region, 141701, Russian Federation.","","1557170X","Conference Paper","2-s2.0-85032180322","0","","0"
"1991","Aleksandr G., Shashurin V., Vyuginov V., Tikhomirov V., Vidyakin S., Agasieva S., Chizhikov S.","Dependence analysis of the GaN HEMT parameters for space application on the thickness AlGaN barrier layer by numerical simulation","2017","2017 2nd International Conference on Opto-Electronic Information Processing, ICOIP 2017","Department 'Design and Technology of Radioelectronic Devices', Bauman Moscow State Technical University, Moscow, Russian Federation; Svetlana-Elektronpribor, St. Petersburg, Russian Federation; Department 'Radiotechnics and Electronics', SPbEU 'Leti', St. Petersburg, Russian Federation","Aleksandr, G., Department 'Design and Technology of Radioelectronic Devices', Bauman Moscow State Technical University, Moscow, Russian Federation; Shashurin, V., Department 'Design and Technology of Radioelectronic Devices', Bauman Moscow State Technical University, Moscow, Russian Federation; Vyuginov, V., Svetlana-Elektronpribor, St. Petersburg, Russian Federation; Tikhomirov, V., Department 'Radiotechnics and Electronics', SPbEU 'Leti', St. Petersburg, Russian Federation; Vidyakin, S., Department 'Design and Technology of Radioelectronic Devices', Bauman Moscow State Technical University, Moscow, Russian Federation; Agasieva, S., Department 'Design and Technology of Radioelectronic Devices', Bauman Moscow State Technical University, Moscow, Russian Federation; Chizhikov, S., Department 'Design and Technology of Radioelectronic Devices', Bauman Moscow State Technical University, Moscow, Russian Federation","RFMEFI57414XOlI6, Minobrnauka, Ministry of Education and Science of the Russian Federation; 14.574.2l.0116, Minobrnauka, Ministry of Education and Science of the Russian Federation","This study was supported by the Ministry of Education and Science of the Russian Federation (agreement on grant no. 14.574.2l.0116, the unique project identifier is RFMEFI57414XOlI6).","","","Conference Paper","2-s2.0-85032583037","0","","2210; 2211; 3104; 2500; 1600;"
"1992","Volkov S.S., Bigus G.A.","Technology and equipment for the ultrasonic contour welding of components made of ABS plastic","2017","Welding International","N.E. Bauman Moscow State Technical University, Moscow, Russian Federation","Volkov, S.S., N.E. Bauman Moscow State Technical University, Moscow, Russian Federation; Bigus, G.A., N.E. Bauman Moscow State Technical University, Moscow, Russian Federation","","","","9507116","Article","2-s2.0-85021089841","Q3","0.199","2506; 2210; 2211;"
"1993","Lyalyakin V.P., Murzaev V.P., Solovev R.Y., Slinko D.B.","Physico-mechanical properties of coatings produced by electric arc metallising with flux-cored wires*","2017","Welding International","All-Russian Research and Technological Institute of Motor and Tractor Maintenance and Operation (FGBNU GOSNITI), Moscow, Russian Federation; N.E. Bauman Moscow State Technical University, Russian Federation","Lyalyakin, V.P., All-Russian Research and Technological Institute of Motor and Tractor Maintenance and Operation (FGBNU GOSNITI), Moscow, Russian Federation; Murzaev, V.P., All-Russian Research and Technological Institute of Motor and Tractor Maintenance and Operation (FGBNU GOSNITI), Moscow, Russian Federation; Solovev, R.Y., All-Russian Research and Technological Institute of Motor and Tractor Maintenance and Operation (FGBNU GOSNITI), Moscow, Russian Federation; Slinko, D.B., N.E. Bauman Moscow State Technical University, Russian Federation","","","","9507116","Article","2-s2.0-85021166201","Q3","0.199","2506; 2210; 2211;"
